"name","total_spent","customer_category"
"Neha","13634.16","GOLDEN"
"Ishaan","12916.17","GOLDEN"
"Aditya","11669.31","GOLDEN"
"Shreya","10911.27","GOLDEN"
"Yash","10500.20","GOLDEN"
"Saanvi","10066.24","GOLDEN"
"Swara","9843.44","GOLDEN"
"Tanya","9629.84","GOLDEN"
"Shreya","9413.42","GOLDEN"
"Meera","9151.67","GOLDEN"
"Komal","8729.07","GOLDEN"
"Anjali","8698.30","GOLDEN"
"Meera","8667.11","GOLDEN"
"Aniket","8570.93","GOLDEN"
"Aditya","8262.18","GOLDEN"
"Karthik","8154.98","GOLDEN"
"Aniket","8027.87","GOLDEN"
"Yash","7983.23","GOLDEN"
"Tanya","7904.99","GOLDEN"
"Kavya","7810.10","GOLDEN"
"Riya","7777.10","GOLDEN"
"Sara","7770.79","GOLDEN"
"Myra","7576.98","GOLDEN"
"Sai","7549.01","GOLDEN"
"Saanvi","7521.42","GOLDEN"
"Rohan","7514.85","GOLDEN"
"Sara","7441.65","GOLDEN"
"Aditya","7385.64","GOLDEN"
"Diya","7321.33","GOLDEN"
"Anika","7293.90","GOLDEN"
"Simran","7233.20","GOLDEN"
"Harsh","7138.47","GOLDEN"
"Anika","7063.31","GOLDEN"
"Pari","6976.29","SILVER"
"Sara","6953.28","SILVER"
"Vivaan","6936.75","SILVER"
"Varun","6907.93","SILVER"
"Neha","6877.46","SILVER"
"Ishaan","6857.50","SILVER"
"Komal","6717.07","SILVER"
"Yash","6692.88","SILVER"
"Aanya","6654.36","SILVER"
"Saanvi","6643.14","SILVER"
"Reyansh","6633.90","SILVER"
"Payal","6629.96","SILVER"
"Sara","6624.56","SILVER"
"Vivaan","6622.70","SILVER"
"Ira","6581.68","SILVER"
"Riya","6575.96","SILVER"
"Bhavya","6558.47","SILVER"
"Pooja","6550.26","SILVER"
"Raj","6463.80","SILVER"
"Vihaan","6422.62","SILVER"
"Ishaan","6326.28","SILVER"
"Varun","6270.96","SILVER"
"Anjali","6258.84","SILVER"
"Reyansh","6216.45","SILVER"
"Shreya","6197.81","SILVER"
"Ishaan","6160.03","SILVER"
"Raj","6151.83","SILVER"
"Siddharth","5985.87","SILVER"
"Sneha","5921.39","SILVER"
"Ishita","5893.57","SILVER"
"Kavya","5877.48","SILVER"
"Aditya","5837.74","SILVER"
"Payal","5770.70","SILVER"
"Krishna","5710.74","SILVER"
"Manav","5580.31","SILVER"
"Nikhil","5574.12","SILVER"
"Tanya","5542.25","SILVER"
"Anika","5538.53","SILVER"
"Aanya","5535.64","SILVER"
"Bhavya","5518.25","SILVER"
"Ira","5500.61","SILVER"
"Ira","5494.17","SILVER"
"Amit","5479.96","SILVER"
"Komal","5470.66","SILVER"
"Sara","5386.32","SILVER"
"Varun","5348.52","SILVER"
"Yash","5299.52","SILVER"
"Tanya","5277.26","SILVER"
"Ayaan","5240.45","SILVER"
"Rohan","5119.02","SILVER"
"Shaurya","5118.77","SILVER"
"Varun","5014.40","SILVER"
"Simran","4973.20","SILVER"
"Riya","4958.45","SILVER"
"Arnav","4932.88","SILVER"
"Diya","4913.89","SILVER"
"Radhika","4883.31","SILVER"
"Vivaan","4861.89","SILVER"
"Kunal","4836.69","SILVER"
"Sara","4775.08","SILVER"
"Aanya","4719.16","SILVER"
"Sneha","4707.06","SILVER"
"Nandini","4699.76","SILVER"
"Pari","4658.17","SILVER"
"Simran","4585.75","SILVER"
"Lavanya","4543.59","SILVER"
"Meera","4539.18","SILVER"
"Swara","4484.95","SILVER"
"Ananya","4465.58","SILVER"
"Radhika","4426.65","SILVER"
"Vivaan","4425.91","SILVER"
"Neha","4396.08","SILVER"
"Ananya","4393.03","SILVER"
"Shreya","4333.58","SILVER"
"Manav","4302.86","SILVER"
"Manav","4217.06","SILVER"
"Arjun","4212.01","SILVER"
"Atharv","4164.18","SILVER"
"Kavya","4155.29","SILVER"
"Manav","4137.25","SILVER"
"Deepak","4054.78","SILVER"
"Kavya","4053.80","SILVER"
"Nandini","4034.43","SILVER"
"Aniket","4033.71","SILVER"
"Aditi","4027.11","SILVER"
"Aniket","4022.07","SILVER"
"Ishita","4006.65","SILVER"
"Saanvi","3992.08","SILVER"
"Bhavya","3988.09","SILVER"
"Simran","3959.04","SILVER"
"Kavya","3944.37","SILVER"
"Tanya","3934.29","SILVER"
"Diya","3913.83","SILVER"
"Arjun","3900.63","SILVER"
"Saanvi","3898.80","SILVER"
"Pooja","3885.20","SILVER"
"Anjali","3885.09","SILVER"
"Aniket","3880.61","SILVER"
"Aditya","3879.36","SILVER"
"Anjali","3831.27","SILVER"
"Shreya","3828.02","SILVER"
"Sai","3819.67","SILVER"
"Deepak","3802.88","SILVER"
"Dhruv","3800.34","SILVER"
"Siddharth","3782.80","SILVER"
"Deepak","3773.24","SILVER"
"Shreya","3762.89","SILVER"
"Riya","3754.28","SILVER"
"Harsh","3750.22","SILVER"
"Saanvi","3730.29","SILVER"
"Rahul","3666.29","SILVER"
"Aanya","3641.58","SILVER"
"Reyansh","3634.09","SILVER"
"Meera","3628.11","SILVER"
"Atharv","3621.74","SILVER"
"Riya","3613.42","SILVER"
"Ishita","3601.97","SILVER"
"Raj","3594.84","SILVER"
"Kavya","3550.62","SILVER"
"Atharv","3550.51","SILVER"
"Tanya","3519.99","SILVER"
"Siddharth","3508.66","SILVER"
"Amit","3506.19","SILVER"
"Navya","3496.80","SILVER"
"Kunal","3458.83","SILVER"
"Priya","3437.35","SILVER"
"Nikhil","3436.23","SILVER"
"Saanvi","3429.07","SILVER"
"Varun","3383.91","SILVER"
"Ishita","3379.72","SILVER"
"Riya","3378.23","SILVER"
"Aniket","3376.43","SILVER"
"Krishna","3374.83","SILVER"
"Sara","3365.03","SILVER"
"Saanvi","3347.84","SILVER"
"Myra","3345.26","SILVER"
"Nandini","3337.59","SILVER"
"Karthik","3331.29","SILVER"
"Siddharth","3327.90","SILVER"
"Payal","3323.91","SILVER"
"Ananya","3307.67","SILVER"
"Ananya","3295.35","SILVER"
"Shreya","3292.31","SILVER"
"Rahul","3284.12","SILVER"
"Arnav","3263.68","SILVER"
"Anika","3259.94","SILVER"
"Deepak","3254.19","SILVER"
"Vivaan","3197.76","SILVER"
"Raj","3186.11","SILVER"
"Pooja","3173.33","SILVER"
"Raj","3148.29","SILVER"
"Arnav","3134.63","SILVER"
"Siddharth","3101.26","SILVER"
"Sneha","3068.84","SILVER"
"Aditya","3015.46","SILVER"
"Muhammad","3015.32","SILVER"
"Muhammad","2984.95","SILVER"
"Bhavya","2966.90","SILVER"
"Arjun","2941.90","SILVER"
"Komal","2938.94","SILVER"
"Vivaan","2933.60","SILVER"
"Shaurya","2895.44","SILVER"
"Rohan","2850.83","SILVER"
"Payal","2840.08","SILVER"
"Nikhil","2815.57","SILVER"
"Shaurya","2795.38","SILVER"
"Dhruv","2772.40","SILVER"
"Neha","2711.22","SILVER"
"Raj","2655.40","SILVER"
"Rohan","2630.01","SILVER"
"Tanya","2617.36","SILVER"
"Arjun","2590.53","SILVER"
"Ayaan","2580.08","SILVER"
"Shreya","2552.21","SILVER"
"Payal","2444.95","SILVER"
"Ananya","2361.42","SILVER"
"Ira","2342.04","SILVER"
"Myra","2337.80","SILVER"
"Pooja","2309.07","SILVER"
"Shreya","2295.67","SILVER"
"Komal","2281.07","SILVER"
"Aditya","2264.34","SILVER"
"Varun","2258.11","SILVER"
"Nandini","2238.78","SILVER"
"Aanya","2236.33","SILVER"
"Sai","2233.16","SILVER"
"Navya","2219.11","SILVER"
